"Time","value"
2025-07-30 13:52:00,81.1 K
2025-07-30 13:52:15,83.2 K
2025-07-30 13:52:30,81.7 K
2025-07-30 13:52:45,79.1 K
2025-07-30 13:53:00,81.8 K
2025-07-30 13:53:15,80.0 K
2025-07-30 13:53:30,80.1 K
2025-07-30 13:53:45,81.2 K
2025-07-30 13:54:00,80.9 K
2025-07-30 13:54:15,80.2 K
2025-07-30 13:54:30,79.5 K
2025-07-30 13:54:45,80.6 K
2025-07-30 13:55:00,77.2 K
2025-07-30 13:55:15,79.2 K
2025-07-30 13:55:30,80.0 K
2025-07-30 13:55:45,80.4 K
2025-07-30 13:56:00,80.7 K
2025-07-30 13:56:15,80.3 K
2025-07-30 13:56:30,78.4 K
2025-07-30 13:56:45,78.8 K
2025-07-30 13:57:00,79.8 K
2025-07-30 13:57:15,79.5 K
2025-07-30 13:57:30,79.4 K
2025-07-30 13:57:45,80.4 K
2025-07-30 13:58:00,80.3 K
2025-07-30 13:58:15,80.5 K
2025-07-30 13:58:30,80.4 K
2025-07-30 13:58:45,79.4 K
2025-07-30 13:59:00,80.0 K
2025-07-30 13:59:15,79.8 K
2025-07-30 13:59:30,78.4 K
2025-07-30 13:59:45,80.9 K
2025-07-30 14:00:00,80.2 K
2025-07-30 14:00:15,79.0 K
2025-07-30 14:00:30,80.0 K
2025-07-30 14:00:45,80.8 K
2025-07-30 14:01:00,79.0 K
2025-07-30 14:01:15,80.7 K
2025-07-30 14:01:30,79.6 K
2025-07-30 14:01:45,80.4 K
2025-07-30 14:02:00,80.0 K
2025-07-30 14:02:15,79.4 K
2025-07-30 14:02:30,78.6 K
2025-07-30 14:02:45,81.0 K
2025-07-30 14:03:00,79.5 K
2025-07-30 14:03:15,78.5 K
2025-07-30 14:03:30,80.2 K
2025-07-30 14:03:45,80.4 K
2025-07-30 14:04:00,81.2 K
2025-07-30 14:04:15,80.4 K
2025-07-30 14:04:30,79.1 K
2025-07-30 14:04:45,81.1 K
2025-07-30 14:05:15,79.6 K
2025-07-30 14:05:30,79.2 K
2025-07-30 14:05:45,80.6 K
2025-07-30 14:06:00,80.0 K
2025-07-30 14:06:15,81.5 K
2025-07-30 14:06:30,79.7 K
2025-07-30 14:06:45,79.0 K
2025-07-30 14:07:00,79.6 K
2025-07-30 14:07:15,80.3 K
2025-07-30 14:07:30,79.8 K
2025-07-30 14:07:45,79.0 K
2025-07-30 14:08:00,80.2 K
2025-07-30 14:08:15,80.5 K
2025-07-30 14:08:30,79.0 K
2025-07-30 14:08:45,80.3 K
2025-07-30 14:09:00,79.5 K
2025-07-30 14:09:15,80.2 K
2025-07-30 14:09:30,79.5 K
2025-07-30 14:09:45,81.2 K
2025-07-30 14:10:00,79.9 K
2025-07-30 14:10:15,79.8 K
2025-07-30 14:10:30,79.9 K
2025-07-30 14:10:45,78.5 K
2025-07-30 14:11:00,80.3 K
2025-07-30 14:11:15,81.2 K
2025-07-30 14:11:30,80.4 K
2025-07-30 14:11:45,80.7 K
2025-07-30 14:12:00,80.6 K
2025-07-30 14:12:15,80.9 K
2025-07-30 14:12:30,79.7 K
2025-07-30 14:12:45,80.1 K
2025-07-30 14:13:00,79.4 K
2025-07-30 14:13:15,80.7 K
2025-07-30 14:13:30,79.9 K
2025-07-30 14:13:45,80.7 K
2025-07-30 14:14:00,78.4 K
2025-07-30 14:14:15,80.7 K
2025-07-30 14:14:30,80.8 K
2025-07-30 14:14:45,80.6 K
2025-07-30 14:15:00,81.1 K
2025-07-30 14:15:15,81.2 K
2025-07-30 14:15:30,80.4 K
2025-07-30 14:15:45,81.1 K
2025-07-30 14:16:00,79.7 K
2025-07-30 14:16:15,79.8 K
2025-07-30 14:16:30,79.2 K
2025-07-30 14:16:45,80.5 K
2025-07-30 14:17:00,80.1 K
2025-07-30 14:17:15,79.8 K
2025-07-30 14:17:30,79.1 K
2025-07-30 14:17:45,80.0 K
2025-07-30 14:18:00,80.6 K
2025-07-30 14:18:15,80.0 K
2025-07-30 14:18:30,80.7 K
2025-07-30 14:18:45,81.4 K
2025-07-30 14:19:00,80.9 K
2025-07-30 14:19:15,79.5 K
2025-07-30 14:19:30,78.7 K
2025-07-30 14:19:45,80.8 K
2025-07-30 14:20:00,80.2 K
2025-07-30 14:20:15,80.9 K
2025-07-30 14:20:30,79.5 K
2025-07-30 14:20:45,80.3 K
2025-07-30 14:21:00,78.5 K
2025-07-30 14:21:15,80.6 K
2025-07-30 14:21:30,81.3 K
2025-07-30 14:21:45,81.6 K
2025-07-30 14:22:00,79.4 K
2025-07-30 14:22:15,79.8 K
2025-07-30 14:22:30,80.5 K
2025-07-30 14:22:45,80.8 K
2025-07-30 14:23:00,80.1 K
2025-07-30 14:23:15,81.0 K
2025-07-30 14:23:30,79.9 K
2025-07-30 14:23:45,84.4 K
2025-07-30 14:24:00,98.5 K
2025-07-30 14:24:15,103.0 K
2025-07-30 14:24:30,108.8 K
2025-07-30 14:24:45,113.9 K
2025-07-30 14:25:00,118.8 K
2025-07-30 14:25:15,123.3 K
2025-07-30 14:25:30,127.8 K
2025-07-30 14:25:45,131.8 K
2025-07-30 14:26:00,135.9 K
2025-07-30 14:26:15,139.7 K
2025-07-30 14:26:30,143.4 K
2025-07-30 14:26:45,147.1 K
2025-07-30 14:27:00,150.6 K
2025-07-30 14:27:15,154.2 K
2025-07-30 14:27:30,158.4 K
2025-07-30 14:27:45,160.6 K
2025-07-30 14:28:00,163.7 K
2025-07-30 14:28:15,166.7 K
2025-07-30 14:28:30,169.8 K
2025-07-30 14:28:45,172.8 K
2025-07-30 14:29:00,175.6 K
2025-07-30 14:29:15,178.4 K
2025-07-30 14:29:30,181.3 K
2025-07-30 14:29:45,183.9 K
2025-07-30 14:30:00,186.9 K
2025-07-30 14:30:15,189.5 K
2025-07-30 14:30:30,191.1 K
2025-07-30 14:30:45,194.6 K
2025-07-30 14:31:00,197.2 K
2025-07-30 14:31:15,199.7 K
2025-07-30 14:31:30,202.5 K
2025-07-30 14:31:45,205.0 K
2025-07-30 14:32:00,208.1 K
2025-07-30 14:32:15,209.9 K
2025-07-30 14:32:30,212.3 K
2025-07-30 14:32:45,214.8 K
2025-07-30 14:33:00,217.1 K
2025-07-30 14:33:15,219.5 K
2025-07-30 14:33:30,221.7 K
2025-07-30 14:33:45,224.1 K
2025-07-30 14:34:00,226.4 K
2025-07-30 14:34:15,228.6 K
2025-07-30 14:34:30,230.9 K
2025-07-30 14:34:45,233.3 K
2025-07-30 14:35:00,235.6 K
2025-07-30 14:35:15,237.9 K
2025-07-30 14:35:30,240.0 K
2025-07-30 14:35:45,242.6 K
2025-07-30 14:36:00,244.5 K
2025-07-30 14:36:15,246.9 K
2025-07-30 14:36:30,249.0 K
2025-07-30 14:36:45,251.4 K
2025-07-30 14:37:00,253.0 K
2025-07-30 14:37:15,255.5 K
2025-07-30 14:37:30,257.8 K
2025-07-30 14:37:45,259.7 K
2025-07-30 14:38:00,261.4 K
2025-07-30 14:38:15,264.3 K
2025-07-30 14:38:30,266.3 K
2025-07-30 14:38:45,268.2 K
2025-07-30 14:39:00,270.3 K
2025-07-30 14:39:15,272.0 K
2025-07-30 14:39:30,273.8 K
2025-07-30 14:39:45,275.6 K
2025-07-30 14:40:00,277.8 K
2025-07-30 14:40:30,281.2 K
2025-07-30 14:40:45,283.5 K
2025-07-30 14:41:00,285.4 K
2025-07-30 14:41:30,289.2 K
2025-07-30 14:41:45,291.2 K
2025-07-30 14:42:00,292.9 K
2025-07-30 14:42:15,294.8 K
2025-07-30 14:42:30,296.8 K
2025-07-30 14:42:45,298.7 K
2025-07-30 14:43:00,300.5 K
2025-07-30 14:43:15,302.6 K
2025-07-30 14:43:30,304.0 K
2025-07-30 14:43:45,304.1 K
2025-07-30 14:44:00,304.6 K
2025-07-30 14:44:15,304.8 K
2025-07-30 14:44:30,305.0 K
2025-07-30 14:45:00,305.0 K
2025-07-30 14:45:15,305.0 K
2025-07-30 14:45:30,305.0 K
2025-07-30 14:45:45,305.1 K
2025-07-30 14:46:00,304.8 K
2025-07-30 14:46:15,304.8 K
2025-07-30 14:46:30,304.8 K
2025-07-30 14:46:45,304.7 K
2025-07-30 14:47:00,304.5 K
2025-07-30 14:47:15,304.4 K
2025-07-30 14:47:30,304.2 K
2025-07-30 14:47:45,304.0 K
2025-07-30 14:48:00,304.0 K
2025-07-30 14:48:15,303.8 K
2025-07-30 14:48:30,303.8 K
2025-07-30 14:48:45,303.7 K
2025-07-30 14:49:00,303.5 K
2025-07-30 14:49:15,303.4 K
2025-07-30 14:49:30,303.3 K
2025-07-30 14:49:45,303.2 K
2025-07-30 14:50:00,303.1 K
2025-07-30 14:50:15,303.0 K
2025-07-30 14:50:30,302.9 K
2025-07-30 14:50:45,302.8 K
2025-07-30 14:51:00,302.7 K
2025-07-30 14:51:30,302.6 K
2025-07-30 14:51:45,302.5 K
2025-07-30 14:52:00,302.4 K
2025-07-30 14:52:30,302.3 K
2025-07-30 14:52:45,302.1 K
2025-07-30 14:53:00,302.1 K
2025-07-30 14:53:15,302.0 K
2025-07-30 14:53:30,302.0 K
2025-07-30 14:53:45,302.0 K
2025-07-30 14:54:00,301.8 K
2025-07-30 14:54:15,301.8 K
2025-07-30 14:54:30,301.8 K
2025-07-30 14:54:45,301.7 K
2025-07-30 14:55:00,301.6 K
2025-07-30 14:55:15,301.6 K
2025-07-30 14:55:30,301.5 K
2025-07-30 14:56:00,301.5 K
2025-07-30 14:56:15,301.4 K
2025-07-30 14:56:30,301.4 K
2025-07-30 14:56:45,301.4 K
2025-07-30 14:57:00,301.3 K
2025-07-30 14:57:15,301.3 K
2025-07-30 14:57:30,301.2 K
2025-07-30 14:57:45,301.2 K
2025-07-30 14:58:00,301.2 K
2025-07-30 14:58:15,301.2 K
2025-07-30 14:58:30,301.1 K
2025-07-30 14:58:45,301.1 K
2025-07-30 14:59:00,301.1 K
2025-07-30 14:59:15,301.1 K
2025-07-30 14:59:30,301.0 K
2025-07-30 15:00:00,301.0 K
2025-07-30 15:00:15,301.0 K
2025-07-30 15:00:30,301.0 K
2025-07-30 15:00:45,300.9 K
2025-07-30 15:01:00,300.9 K
2025-07-30 15:01:15,300.9 K
2025-07-30 15:01:30,300.9 K
2025-07-30 15:01:45,300.8 K
2025-07-30 15:02:00,300.8 K
2025-07-30 15:02:15,300.8 K
2025-07-30 15:02:30,300.8 K
2025-07-30 15:02:45,300.8 K
2025-07-30 15:03:00,300.8 K
2025-07-30 15:03:15,300.8 K
2025-07-30 15:03:30,300.8 K
2025-07-30 15:03:45,300.8 K
2025-07-30 15:04:00,300.7 K
2025-07-30 15:04:15,300.7 K
2025-07-30 15:04:30,300.7 K
2025-07-30 15:04:45,300.7 K
2025-07-30 15:05:00,300.7 K
2025-07-30 15:05:15,300.7 K
2025-07-30 15:05:30,300.7 K
2025-07-30 15:05:45,300.7 K
2025-07-30 15:06:00,300.7 K
2025-07-30 15:06:15,300.6 K
2025-07-30 15:06:30,300.6 K
2025-07-30 15:06:45,300.6 K
2025-07-30 15:07:00,300.6 K
2025-07-30 15:07:15,300.6 K
2025-07-30 15:07:30,300.6 K
2025-07-30 15:07:45,300.6 K
2025-07-30 15:08:00,300.6 K
2025-07-30 15:08:15,300.6 K
2025-07-30 15:08:30,300.6 K
2025-07-30 15:08:45,300.6 K
2025-07-30 15:09:00,300.6 K
2025-07-30 15:09:15,300.6 K
2025-07-30 15:09:30,300.5 K
2025-07-30 15:09:45,300.5 K
2025-07-30 15:10:00,300.5 K
2025-07-30 15:10:15,300.5 K
2025-07-30 15:10:30,300.6 K
2025-07-30 15:10:45,300.5 K
2025-07-30 15:11:00,300.5 K
2025-07-30 15:11:15,300.5 K
2025-07-30 15:11:30,300.5 K
2025-07-30 15:11:45,300.5 K
2025-07-30 15:12:00,300.5 K
2025-07-30 15:12:15,300.5 K
2025-07-30 15:12:30,300.5 K
2025-07-30 15:12:45,300.5 K
2025-07-30 15:13:00,300.5 K
2025-07-30 15:13:15,300.5 K
2025-07-30 15:13:30,300.5 K
2025-07-30 15:13:45,300.5 K
2025-07-30 15:14:00,300.5 K
2025-07-30 15:14:15,300.5 K
2025-07-30 15:14:30,300.5 K
2025-07-30 15:14:45,300.5 K
2025-07-30 15:15:00,300.5 K
2025-07-30 15:15:15,300.4 K
2025-07-30 15:15:30,300.4 K
2025-07-30 15:15:45,300.5 K
2025-07-30 15:16:00,300.5 K
2025-07-30 15:16:15,300.4 K
2025-07-30 15:16:30,300.4 K
2025-07-30 15:16:45,300.4 K
2025-07-30 15:17:00,300.5 K
2025-07-30 15:17:15,300.5 K
2025-07-30 15:17:30,300.4 K
2025-07-30 15:17:45,300.5 K
2025-07-30 15:18:00,300.4 K
2025-07-30 15:18:15,300.5 K
2025-07-30 15:18:30,300.4 K
2025-07-30 15:18:45,300.4 K
2025-07-30 15:19:00,300.5 K
2025-07-30 15:19:15,300.5 K
2025-07-30 15:19:30,300.4 K
2025-07-30 15:19:45,300.4 K
2025-07-30 15:20:00,300.4 K
2025-07-30 15:20:15,300.4 K
2025-07-30 15:20:30,300.4 K
2025-07-30 15:20:45,300.4 K
2025-07-30 15:21:00,300.4 K
2025-07-30 15:21:15,300.4 K
2025-07-30 15:21:30,300.4 K
2025-07-30 15:21:45,300.4 K
2025-07-30 15:22:00,300.4 K
2025-07-30 15:22:15,300.4 K
2025-07-30 15:22:30,300.4 K
2025-07-30 15:22:45,300.4 K
2025-07-30 15:23:00,300.4 K
2025-07-30 15:23:15,300.4 K
2025-07-30 15:23:30,300.4 K
2025-07-30 15:23:45,300.4 K
2025-07-30 15:24:00,300.4 K
2025-07-30 15:24:15,300.4 K
2025-07-30 15:24:30,300.4 K
2025-07-30 15:24:45,300.4 K
2025-07-30 15:25:00,300.4 K
2025-07-30 15:25:15,300.4 K
2025-07-30 15:25:30,300.4 K
2025-07-30 15:25:45,300.4 K
2025-07-30 15:26:00,300.4 K
2025-07-30 15:26:15,300.4 K
2025-07-30 15:26:30,300.4 K
2025-07-30 15:26:45,300.4 K
2025-07-30 15:27:00,300.4 K
2025-07-30 15:27:15,300.4 K
2025-07-30 15:27:30,300.4 K
2025-07-30 15:27:45,300.4 K
2025-07-30 15:28:00,300.4 K
2025-07-30 15:28:15,300.4 K
2025-07-30 15:28:30,300.4 K
2025-07-30 15:28:45,300.4 K
2025-07-30 15:29:00,300.4 K
2025-07-30 15:29:15,300.5 K
2025-07-30 15:29:30,300.5 K
2025-07-30 15:29:45,300.5 K
2025-07-30 15:30:00,300.4 K
2025-07-30 15:30:15,300.5 K
2025-07-30 15:30:30,300.5 K
2025-07-30 15:30:45,300.5 K
2025-07-30 15:31:00,300.5 K
2025-07-30 15:31:15,300.5 K
2025-07-30 15:31:30,300.5 K
2025-07-30 15:31:45,300.5 K
2025-07-30 15:32:00,300.5 K
2025-07-30 15:32:30,300.5 K
2025-07-30 15:32:45,300.5 K
2025-07-30 15:33:00,300.5 K
2025-07-30 15:33:15,300.5 K
2025-07-30 15:33:30,300.5 K
2025-07-30 15:33:45,300.5 K
2025-07-30 15:34:00,300.5 K
2025-07-30 15:34:15,300.5 K
2025-07-30 15:34:30,300.5 K
2025-07-30 15:34:45,300.5 K
2025-07-30 15:35:00,300.5 K
2025-07-30 15:35:15,300.5 K
2025-07-30 15:35:30,300.5 K
2025-07-30 15:35:45,300.5 K
2025-07-30 15:36:00,300.5 K
2025-07-30 15:36:15,300.5 K
2025-07-30 15:36:30,300.6 K
2025-07-30 15:36:45,300.5 K
2025-07-30 15:37:00,300.6 K
2025-07-30 15:37:15,300.6 K
2025-07-30 15:37:30,300.6 K
2025-07-30 15:37:45,300.6 K
2025-07-30 15:38:00,300.6 K
2025-07-30 15:38:15,300.6 K
2025-07-30 15:38:30,300.6 K
2025-07-30 15:38:45,300.6 K
2025-07-30 15:39:00,300.6 K
2025-07-30 15:39:15,300.6 K
2025-07-30 15:39:30,300.7 K
2025-07-30 15:39:45,300.7 K
2025-07-30 15:40:00,300.6 K
2025-07-30 15:40:15,300.7 K
2025-07-30 15:40:30,300.7 K
2025-07-30 15:40:45,300.7 K
2025-07-30 15:41:00,300.7 K
2025-07-30 15:41:15,300.7 K
2025-07-30 15:41:30,300.7 K
2025-07-30 15:42:00,300.7 K
2025-07-30 15:42:15,300.7 K
2025-07-30 15:42:30,300.7 K
2025-07-30 15:42:45,300.7 K
2025-07-30 15:43:00,300.7 K
2025-07-30 15:43:15,300.7 K
2025-07-30 15:43:30,300.7 K
2025-07-30 15:43:45,300.8 K
2025-07-30 15:44:00,300.7 K
2025-07-30 15:44:15,300.8 K
2025-07-30 15:44:30,300.7 K
2025-07-30 15:44:45,300.3 K
2025-07-30 15:45:00,300.6 K
2025-07-30 15:45:15,300.0 K
2025-07-30 15:45:30,300.7 K
2025-07-30 15:46:00,300.7 K
2025-07-30 15:46:15,300.2 K
2025-07-30 15:46:30,300.7 K
2025-07-30 15:46:45,300.7 K
2025-07-30 15:47:00,300.7 K
2025-07-30 15:47:15,300.7 K
2025-07-30 15:47:30,300.6 K
2025-07-30 15:47:45,300.6 K
2025-07-30 15:48:00,300.4 K
2025-07-30 15:48:15,300.6 K
2025-07-30 15:48:30,300.5 K
2025-07-30 15:48:45,300.5 K
2025-07-30 15:49:00,300.3 K
2025-07-30 15:49:15,300.5 K
2025-07-30 15:49:30,300.4 K
2025-07-30 15:49:45,300.4 K
2025-07-30 15:50:00,300.4 K
2025-07-30 15:50:15,300.3 K
2025-07-30 15:50:30,300.3 K
2025-07-30 15:50:45,300.4 K
2025-07-30 15:51:00,300.3 K
2025-07-30 15:51:15,300.3 K
2025-07-30 15:51:30,300.0 K
2025-07-30 15:51:45,300.3 K
2025-07-30 15:52:00,300.0 K
2025-07-30 15:52:15,300.2 K
2025-07-30 15:52:30,300.2 K
2025-07-30 15:52:45,300.2 K
2025-07-30 15:53:00,300.1 K
2025-07-30 15:53:15,300.2 K
2025-07-30 15:53:30,300.1 K
2025-07-30 15:53:45,299.8 K
2025-07-30 15:54:00,300.1 K
2025-07-30 15:54:15,300.1 K
2025-07-30 15:54:30,300.1 K
2025-07-30 15:54:45,300.1 K
2025-07-30 15:55:00,300.1 K
2025-07-30 15:55:15,300.1 K
2025-07-30 15:55:30,300.0 K
2025-07-30 15:55:45,300.1 K
2025-07-30 15:56:00,300.0 K
2025-07-30 15:56:15,300.0 K
2025-07-30 15:56:30,300.0 K
2025-07-30 15:56:45,300.0 K
2025-07-30 15:57:00,300.1 K
2025-07-30 15:57:15,300.1 K
2025-07-30 15:57:30,300.1 K
2025-07-30 15:57:45,300.1 K
2025-07-30 15:58:00,300.1 K
2025-07-30 15:58:15,300.1 K
2025-07-30 15:58:30,300.1 K
2025-07-30 15:58:45,300.1 K
2025-07-30 15:59:00,300.1 K
2025-07-30 15:59:15,300.1 K
2025-07-30 15:59:30,300.2 K
2025-07-30 15:59:45,300.2 K
2025-07-30 16:00:00,300.2 K
2025-07-30 16:00:15,300.2 K
2025-07-30 16:00:30,300.2 K
2025-07-30 16:00:45,300.2 K
2025-07-30 16:01:00,300.2 K
2025-07-30 16:01:15,300.2 K
2025-07-30 16:01:30,300.1 K
2025-07-30 16:01:45,300.2 K
2025-07-30 16:02:00,300.2 K
2025-07-30 16:02:15,300.2 K
2025-07-30 16:02:30,300.3 K
2025-07-30 16:02:45,300.3 K
2025-07-30 16:03:00,300.3 K
2025-07-30 16:03:15,300.3 K
2025-07-30 16:03:30,300.3 K
2025-07-30 16:03:45,300.3 K
2025-07-30 16:04:00,300.3 K
2025-07-30 16:04:15,300.3 K
2025-07-30 16:04:30,300.3 K
2025-07-30 16:04:45,300.3 K
2025-07-30 16:05:00,300.4 K
2025-07-30 16:05:15,300.4 K
2025-07-30 16:05:30,300.4 K
2025-07-30 16:05:45,300.4 K
2025-07-30 16:06:00,300.4 K
2025-07-30 16:06:15,300.4 K
2025-07-30 16:06:30,300.4 K
2025-07-30 16:06:45,300.4 K
2025-07-30 16:07:00,300.5 K
2025-07-30 16:07:15,300.5 K
2025-07-30 16:07:30,300.5 K
2025-07-30 16:07:45,300.5 K
2025-07-30 16:08:00,300.5 K
2025-07-30 16:08:15,300.5 K
2025-07-30 16:08:30,300.5 K
2025-07-30 16:08:45,300.5 K
2025-07-30 16:09:00,300.5 K
2025-07-30 16:09:15,300.5 K
2025-07-30 16:09:30,300.5 K
2025-07-30 16:09:45,300.5 K
2025-07-30 16:10:00,300.5 K
2025-07-30 16:10:15,300.5 K
2025-07-30 16:10:30,300.5 K
2025-07-30 16:10:45,300.5 K
2025-07-30 16:11:00,300.5 K
2025-07-30 16:11:15,300.5 K
2025-07-30 16:11:30,300.5 K
2025-07-30 16:11:45,300.5 K
2025-07-30 16:12:00,300.5 K
2025-07-30 16:12:15,300.5 K
2025-07-30 16:12:30,300.5 K
2025-07-30 16:12:45,300.5 K
2025-07-30 16:13:00,300.5 K
2025-07-30 16:13:15,300.6 K
2025-07-30 16:13:30,300.5 K
2025-07-30 16:13:45,300.5 K
2025-07-30 16:14:00,300.5 K
2025-07-30 16:14:15,300.5 K
2025-07-30 16:14:30,300.5 K
2025-07-30 16:14:45,300.5 K
2025-07-30 16:15:00,300.5 K
2025-07-30 16:15:15,300.5 K
2025-07-30 16:15:30,300.5 K
2025-07-30 16:15:45,300.5 K
2025-07-30 16:16:00,300.5 K
2025-07-30 16:16:15,300.5 K
2025-07-30 16:16:30,300.5 K
2025-07-30 16:16:45,300.5 K
2025-07-30 16:17:00,300.4 K
2025-07-30 16:17:15,300.4 K
2025-07-30 16:17:30,300.4 K
2025-07-30 16:17:45,300.4 K
2025-07-30 16:18:00,300.4 K
2025-07-30 16:18:15,300.4 K
2025-07-30 16:18:30,300.4 K
2025-07-30 16:18:45,300.4 K
2025-07-30 16:19:00,300.4 K
2025-07-30 16:19:15,300.3 K
2025-07-30 16:19:30,300.3 K
2025-07-30 16:19:45,300.3 K
2025-07-30 16:20:00,300.3 K
2025-07-30 16:20:15,300.3 K
2025-07-30 16:20:30,300.3 K
2025-07-30 16:20:45,300.3 K
2025-07-30 16:21:00,300.3 K
2025-07-30 16:21:15,300.3 K
2025-07-30 16:21:24,300.3 K

